epoch,loss,lr,val_loss
0,0.000357139331754297,1e-04,0.0002831992751453072
1,0.00021939391444902867,1e-04,0.00019783791503868997
2,0.0001507789856987074,1e-04,0.00016168106230907142
3,0.00012738414807245135,1e-04,0.00013876792218070477
4,0.00010915510210907087,1e-04,0.00014845763507764786
5,9.508038783678785e-05,1e-04,0.00017393779125995934
6,8.564502786612138e-05,1e-04,0.00014221950550563633
7,7.270248897839338e-05,1e-04,0.00013408133236225694
8,6.573847349500284e-05,1e-04,0.0001284106692764908
9,5.620852607535198e-05,1e-04,0.00012212475121486932
10,4.880388587480411e-05,1e-04,0.00011630441440502182
11,3.901707168552093e-05,1e-04,0.00013476642197929323
12,3.6119930882705376e-05,1e-04,0.00012196860916446894
13,3.212030787835829e-05,1e-04,0.000126581551739946
14,3.0762297683395445e-05,1e-04,0.00013005764049012214
15,2.427165600238368e-05,1e-04,0.00012634534505195916
16,1.778982550604269e-05,5e-05,9.702178795123473e-05
17,1.4878895854053553e-05,5e-05,0.00011138869740534574
18,1.52886459545698e-05,5e-05,0.00010762392776086926
19,1.420861099177273e-05,5e-05,0.00012778233212884516
20,1.2390385563776363e-05,5e-05,0.00013316256809048355
21,1.2098515981051605e-05,5e-05,0.00011860288213938475
22,1.091700960387243e-05,5e-05,0.00011524472938617691
23,9.23731568036601e-06,2.5e-05,0.00011117735266452655
24,8.310848897963297e-06,2.5e-05,0.0001273692469112575
25,8.301695743284654e-06,2.5e-05,0.00010822156764334068
26,7.590836048620986e-06,2.5e-05,0.00011300678306724876
27,8.167914529622067e-06,2.5e-05,9.358247189084068e-05
28,7.422951057378668e-06,2.5e-05,0.00011052073386963457
29,7.226605248433771e-06,2.5e-05,0.00011143237497890368
30,6.766283149772789e-06,2.5e-05,0.00011364028614480048
31,7.2141133387049194e-06,2.5e-05,9.51780384639278e-05
32,6.731146186211845e-06,2.5e-05,0.00010951927106361836
33,6.351220235956134e-06,1.25e-05,0.00011292895214864984
34,6.035058049747022e-06,1.25e-05,0.00010208395542576909
35,6.088858299335698e-06,1.25e-05,0.00010612278856569901
36,6.260076588660013e-06,1.25e-05,0.00010346139606554061
37,6.048411705705803e-06,1.25e-05,0.0001248078333446756
38,5.897093160456279e-06,1.25e-05,0.00012022022565361112
39,5.832280749018537e-06,1.25e-05,0.00010011531412601471
40,5.949321348452941e-06,6.25e-06,0.00011652735702227801
41,5.496552148542833e-06,6.25e-06,0.0001042707372107543
42,5.464266905619297e-06,6.25e-06,0.00011722363706212491
43,5.609969321085373e-06,6.25e-06,0.00011788182746386155
44,5.69496523894486e-06,6.25e-06,0.00011477821681182832
45,5.3982180361344945e-06,6.25e-06,0.00012565676297526807
46,5.439861524791922e-06,6.25e-06,9.614213195163757e-05
47,5.379235517466441e-06,3.125e-06,0.00011449890735093504
