epoch,abdomen,head_,loss,lr,neck,val_abdomen,val_head_,val_loss,val_neck,val_waist,waist
0,0.007630220148712397,0.007305847480893135,0.006594309117645025,1e-04,0.006431343499571085,0.00713621499016881,0.006214956287294626,0.005213673692196608,0.004447281360626221,0.0030562386382371187,0.005009839311242104
1,0.0065779960714280605,0.005349474027752876,0.004696797579526901,1e-04,0.0038991470355540514,0.004777438938617706,0.004982180893421173,0.00393171701580286,0.0033983022440224886,0.0025689471513032913,0.0029605701565742493
2,0.0045370664447546005,0.003928321413695812,0.0033259133342653513,1e-04,0.002709785243496299,0.0031444700434803963,0.0028510417323559523,0.0023440481163561344,0.001979302614927292,0.0014013797044754028,0.0021284844260662794
3,0.0033033641520887613,0.002893056022003293,0.0025136605836451054,1e-04,0.0021154542919248343,0.0030305692926049232,0.002633742755278945,0.002257317304611206,0.0017774254083633423,0.0015875312965363264,0.0017427696147933602
4,0.0027907704934477806,0.0022666784934699535,0.0021118945442140102,1e-04,0.0017997032264247537,0.0022100305650383234,0.0020664369221776724,0.0018039392307400703,0.0014508950989693403,0.001488394569605589,0.0015904251486063004
5,0.002284917514771223,0.0018418325344100595,0.0017498958623036742,1e-04,0.001534545561298728,0.002227547112852335,0.002181370509788394,0.0019819645676761866,0.002036672318354249,0.0014822689117863774,0.0013382865581661463
6,0.0017642175080254674,0.0013705657329410315,0.001371455378830433,1e-04,0.001228036475367844,0.0020664359908550978,0.0019255011575296521,0.0016826502978801727,0.0015645589446648955,0.0011741050984710455,0.001123000867664814
7,0.001573870307765901,0.00121428316924721,0.0012339613167569041,1e-04,0.0010972046293318272,0.0019031137926504016,0.001447533955797553,0.0014078067615628242,0.0012146994704380631,0.0010658802930265665,0.0010504875099286437
8,0.0015300806844606996,0.0011021082755178213,0.0011554380180314183,1e-04,0.0010046456009149551,0.0017467577708885074,0.0014891396276652813,0.0013920679921284318,0.0011288815876469016,0.0012034930987283587,0.000984919723123312
9,0.001233783783391118,0.0009522487525828183,0.0009774435311555862,1e-04,0.000882602937053889,0.0015486734919250011,0.0013288171030580997,0.0012844206066802144,0.001183283282443881,0.0010769086657091975,0.000841138360556215
10,0.0010881110792979598,0.0007943068630993366,0.0008505466394126415,1e-04,0.0007744692848064005,0.0015087784267961979,0.0012860504211857915,0.0012002467410638928,0.0010004963260143995,0.0010056619066745043,0.0007452999707311392
11,0.0009732406469993293,0.0007055352907627821,0.0007583049591630697,1e-04,0.0006883891182951629,0.0014347498072311282,0.001143923494964838,0.001162188476882875,0.0009960862807929516,0.0010739940917119384,0.0006660543731413782
12,0.0008805821998976171,0.0006614338490180671,0.0007136579370126128,1e-04,0.0006541532347910106,0.0015535716665908694,0.0014769131084904075,0.0012909660581499338,0.0010989424772560596,0.001034436863847077,0.00065846205689013
13,0.0007382752955891192,0.0005779613275080919,0.0006094372947700322,1e-04,0.000570701842661947,0.001576119102537632,0.0013259290717542171,0.001242533908225596,0.0010605471907183528,0.0010075406171381474,0.0005508104804903269
